Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-04-20T16:00:00Z,TSLA,163.81,-10,Market,Filled,-1638.1,"Liquidated" 
2023-04-25T14:00:00Z,BABA,83.97,-21,Market,Filled,-1763.37,"Liquidated" 
2023-05-11T15:00:00Z,MANU,18.26,-92,Market,Filled,-1679.92,"Liquidated" 
2023-05-11T19:00:00Z,TQQQ,29.15,-94,Market,Filled,-2740.1,"Liquidated" 
2023-05-15T14:00:00Z,BABA,86.19,24,Market,Filled,2068.56,"" 
2023-05-22T14:00:00Z,NVDA,312.835,6,Market,Filled,1877.01,"" 
2023-05-25T14:00:00Z,INTC,27.425,-64,Market,Filled,-1755.2,"Liquidated" 
2023-05-25T16:00:00Z,SQQQ,24.99,-71,Market,Filled,-1774.29,"Liquidated" 
2023-05-25T20:00:00Z,MSFT,0,-8,Market On Open,Canceled,0,"Liquidated" 
2023-05-25T20:15:00Z,MSFT,324,-8,Market On Open,Filled,-2592,"Liquidated" 
2023-05-26T19:00:00Z,AMD,126.61,-22,Market,Filled,-2785.42,"Liquidated" 
2023-05-30T14:00:00Z,NFLX,389.9,-6,Market,Filled,-2339.4,"Liquidated" 
2023-06-05T14:00:00Z,AMD,117.11,18,Market,Filled,2107.98,"" 
2023-06-05T14:00:00Z,TSLA,219.18,10,Market,Filled,2191.8,"" 
2023-06-05T14:00:00Z,SQQQ,21.655,102,Market,Filled,2208.81,"" 
2023-06-05T14:00:00Z,TQQQ,36.97,60,Market,Filled,2218.2,"" 
2023-06-05T14:00:00Z,BAC,28.495,77,Market,Filled,2194.115,"" 
2023-06-05T14:00:00Z,MSFT,335.26,6,Market,Filled,2011.56,"" 
2023-06-06T15:00:00Z,AMZN,126.61,-21,Market,Filled,-2658.81,"Liquidated" 
2023-06-06T16:00:00Z,GOOGL,127.715,-20,Market,Filled,-2554.3,"Liquidated" 
2023-06-12T14:00:00Z,CRM,218.36,10,Market,Filled,2183.6,"" 
2023-06-12T14:00:00Z,AMZN,124.73,18,Market,Filled,2245.14,"" 
